epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6777,2.13246,3.07691,2.01217,0.16065,0.14407,0.08029,0.02325,2.59206,3.25754,2.25982,0.0802199,9.93976e-05,9.93976e-05
2,177.564,1.93005,2.49633,1.84966,0.56376,0.41525,0.44739,0.15986,2.22038,2.45619,1.9595,0.0603197,0.000199201,0.000199201
3,267.872,1.89885,2.28833,1.7721,0.60675,0.45763,0.45406,0.17008,2.39298,2.46449,2.08642,0.0404187,0.000298217,0.000298217
4,354.634,1.85137,2.18131,1.74035,0.61751,0.41525,0.50408,0.24368,1.99188,2.0897,1.76749,0.0205163,0.00039586,0.00039586
5,439.619,1.84954,2.15813,1.73572,0.65677,0.48651,0.55337,0.20294,2.18183,1.95085,1.8554,0.000612035,0.000491553,0.000491553
6,524.234,1.80388,2.03791,1.70096,0.84293,0.54576,0.6235,0.27449,2.05985,1.73418,1.68794,0.000487764,0.000487764,0.000487764
7,608.867,1.76022,1.98349,1.66003,0.7147,0.61864,0.65871,0.27644,2.00844,1.7885,1.69885,0.000482444,0.000482444,0.000482444
8,693.685,1.74581,1.84955,1.63783,0.72971,0.48048,0.55843,0.19856,2.18972,1.96901,1.88614,0.000476207,0.000476207,0.000476207
9,778.351,1.74743,1.82731,1.62211,0.75555,0.45763,0.54895,0.2309,2.05928,1.98984,1.74171,0.000469077,0.000469077,0.000469077
10,862.955,1.69175,1.75896,1.58837,0.76078,0.60169,0.67085,0.22431,2.26378,1.68013,1.85341,0.000461082,0.000461082,0.000461082
11,947.472,1.70843,1.76897,1.62002,0.72151,0.49153,0.62154,0.22937,2.20079,1.77583,1.79294,0.000452255,0.000452255,0.000452255
12,1031.97,1.6721,1.71769,1.60104,0.75229,0.59322,0.67276,0.28232,2.09714,1.65911,1.75326,0.000442629,0.000442629,0.000442629
13,1116.62,1.67649,1.64158,1.56693,0.79348,0.61864,0.72038,0.30342,2.00479,1.57918,1.71168,0.000432243,0.000432243,0.000432243
14,1201.18,1.65379,1.66757,1.56468,0.76449,0.60524,0.71597,0.28907,2.03615,1.5213,1.71214,0.000421138,0.000421138,0.000421138
15,1285.7,1.62578,1.59318,1.52011,0.81522,0.5678,0.67113,0.27618,1.99667,1.55052,1.66628,0.000409357,0.000409357,0.000409357
16,1370.32,1.60494,1.54351,1.52337,0.84838,0.61017,0.74147,0.30952,1.99522,1.44615,1.63668,0.000396947,0.000396947,0.000396947
17,1454.94,1.59346,1.52399,1.51609,0.8379,0.65254,0.75013,0.28255,2.12548,1.48753,1.78782,0.000383958,0.000383958,0.000383958
18,1539.61,1.59381,1.48579,1.51125,0.84202,0.63239,0.75459,0.34406,1.98586,1.46482,1.69926,0.00037044,0.00037044,0.00037044
19,1624.16,1.56107,1.46589,1.4878,0.71493,0.70137,0.72727,0.27787,2.17297,1.43937,1.85997,0.000356446,0.000356446,0.000356446
20,1708.76,1.54619,1.42953,1.45076,0.72863,0.71186,0.73588,0.31526,2.08471,1.37277,1.66869,0.000342033,0.000342033,0.000342033
21,1793.33,1.52283,1.41017,1.45134,0.78285,0.66949,0.74416,0.30314,2.08595,1.35093,1.70409,0.000327256,0.000327256,0.000327256
22,1877.95,1.56716,1.40277,1.46408,0.80182,0.68577,0.74419,0.32559,2.03458,1.4786,1.69109,0.000312174,0.000312174,0.000312174
23,1962.54,1.52935,1.35491,1.44862,0.82854,0.66949,0.74582,0.30718,2.09764,1.36483,1.71238,0.000296847,0.000296847,0.000296847
24,2047.09,1.5105,1.35219,1.44414,0.77132,0.64407,0.71496,0.27878,2.1471,1.41903,1.77202,0.000281335,0.000281335,0.000281335
25,2131.7,1.45874,1.29321,1.4132,0.77494,0.70036,0.75798,0.31882,2.06958,1.35862,1.73578,0.0002657,0.0002657,0.0002657
26,2216.2,1.49099,1.28024,1.42159,0.78398,0.71186,0.74377,0.31061,2.04734,1.27859,1.68993,0.000250003,0.000250003,0.000250003
27,2300.87,1.44849,1.233,1.39966,0.77337,0.72299,0.76955,0.32054,2.05867,1.29252,1.68943,0.000234305,0.000234305,0.000234305
28,2385.48,1.45729,1.23452,1.39833,0.75644,0.62712,0.69321,0.29277,2.16263,1.29531,1.76973,0.00021867,0.00021867,0.00021867
