epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.653,2.01812,2.99637,1.85671,0.0088,0.51695,0.02718,0.00639,2.32248,3.86557,2.06184,0.0756705,0.000239429,0.000239429
2,795.347,1.96001,2.47993,1.83948,0.03416,0.13559,0.0282,0.01026,2.6335,7.53453,2.57779,0.0509045,0.000473494,0.000473494
3,1082.4,1.90797,2.32422,1.83033,0.06573,0.10169,0.03172,0.01024,2.32588,3.74924,2.11884,0.0261289,0.000697911,0.000697911
4,1390.05,1.91565,2.2441,1.78464,0.40118,0.37288,0.27017,0.07062,2.50301,2.91118,2.10149,0.00134371,0.00091268,0.00091268
5,1730.46,1.85991,2.13365,1.77005,0.69268,0.51695,0.55192,0.20313,2.24745,2.01307,1.95914,0.000897336,0.000897336,0.000897336
6,2055.54,1.85694,2.08179,1.74332,0.53593,0.47458,0.49909,0.15447,2.52898,2.06638,2.03725,0.00087804,0.00087804,0.00087804
7,2380.09,1.85313,2.03187,1.71498,0.67136,0.46744,0.52223,0.16833,2.32816,2.00323,1.9185,0.000858745,0.000858745,0.000858745
8,2718.9,1.81046,1.91717,1.67455,0.7138,0.54237,0.60997,0.2008,2.35416,1.69086,1.93606,0.000839449,0.000839449,0.000839449
9,3002.97,1.75707,1.81805,1.61562,0.80689,0.56656,0.64142,0.24703,2.0969,1.76023,1.77293,0.000820154,0.000820154,0.000820154
10,3312.92,1.73882,1.8363,1.62215,0.81462,0.55862,0.64171,0.19935,2.39739,1.9583,1.99133,0.000800858,0.000800858,0.000800858
11,3640.09,1.71256,1.72356,1.59783,0.73895,0.55085,0.63542,0.21409,2.20504,1.68147,1.76843,0.000781563,0.000781563,0.000781563
