epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,3973.99,1.71263,1.73608,1.61944,0.72254,0.63559,0.70612,0.29104,1.92342,1.56638,1.6745,0.000762267,0.000762267,0.000762267
13,4300.26,1.69065,1.66709,1.58557,0.71816,0.62712,0.66333,0.27759,2.03405,1.61253,1.7215,0.000742972,0.000742972,0.000742972
14,4640.15,1.70497,1.67483,1.58753,0.69928,0.55085,0.62109,0.20096,2.28631,1.78403,1.93305,0.000723677,0.000723677,0.000723677
15,4946.45,1.66277,1.60839,1.55914,0.8167,0.61864,0.71642,0.29126,1.98628,1.45951,1.67207,0.000704381,0.000704381,0.000704381
16,5251.93,1.66651,1.5927,1.57402,0.77544,0.65254,0.70478,0.28024,2.10139,1.5275,1.78048,0.000685086,0.000685086,0.000685086
17,5543.78,1.61544,1.55733,1.5173,0.79102,0.67797,0.72933,0.26879,2.22419,1.54125,1.86421,0.00066579,0.00066579,0.00066579
18,5844.56,1.57815,1.48939,1.49592,0.84173,0.58591,0.67867,0.23285,2.25011,1.50816,1.89147,0.000646495,0.000646495,0.000646495
19,6136.99,1.5812,1.47394,1.49685,0.86322,0.63559,0.71475,0.29165,2.10003,1.50006,1.78099,0.000627199,0.000627199,0.000627199
20,6461.98,1.60831,1.46331,1.50318,0.83917,0.62712,0.68965,0.23467,2.21134,1.54833,1.85289,0.000607904,0.000607904,0.000607904
21,6785.77,1.55572,1.38676,1.4847,0.76012,0.68644,0.72776,0.28525,2.04792,1.43475,1.67279,0.000588608,0.000588608,0.000588608
22,7132.63,1.57164,1.44202,1.48862,0.80387,0.6947,0.73752,0.27462,2.16844,1.43201,1.8104,0.000569313,0.000569313,0.000569313
23,7436.87,1.54993,1.37158,1.47101,0.8332,0.60169,0.72481,0.30032,2.06863,1.29779,1.69488,0.000550018,0.000550018,0.000550018
24,7739.41,1.53256,1.34557,1.44238,0.84789,0.67797,0.77743,0.3263,2.00561,1.28809,1.67696,0.000530722,0.000530722,0.000530722
25,8022.81,1.53825,1.35396,1.44573,0.85237,0.68503,0.77151,0.26742,2.24816,1.32091,1.89872,0.000511427,0.000511427,0.000511427
26,8344.85,1.52586,1.36651,1.44945,0.85613,0.69492,0.75684,0.33818,1.94518,1.32115,1.66189,0.000492131,0.000492131,0.000492131
27,8625.24,1.51015,1.28166,1.44575,0.87371,0.70339,0.78287,0.32041,2.06843,1.26192,1.72522,0.000472836,0.000472836,0.000472836
28,8907.09,1.47527,1.2951,1.43001,0.80517,0.73548,0.74434,0.26087,2.26882,1.33709,1.89823,0.00045354,0.00045354,0.00045354
29,9186.91,1.49965,1.35539,1.44154,0.86668,0.69492,0.76781,0.33469,1.96765,1.26771,1.64671,0.000434245,0.000434245,0.000434245
30,9473.77,1.44523,1.21994,1.39605,0.89592,0.71186,0.78372,0.32018,2.07271,1.2632,1.77798,0.000414949,0.000414949,0.000414949
31,9749.46,1.46857,1.26262,1.41182,0.84984,0.69492,0.75949,0.26186,2.3535,1.29382,1.97145,0.000395654,0.000395654,0.000395654
32,10058.5,1.44187,1.2055,1.38979,0.8655,0.69492,0.72538,0.2643,2.20831,1.26234,1.83409,0.000376359,0.000376359,0.000376359
33,10338.5,1.41666,1.21586,1.39141,0.84356,0.68545,0.74353,0.29445,2.23335,1.22743,1.87294,0.000357063,0.000357063,0.000357063
34,10622.5,1.43561,1.18553,1.38431,0.75873,0.67797,0.71829,0.24116,2.42034,1.32091,1.97893,0.000337768,0.000337768,0.000337768
35,10903.1,1.38803,1.14241,1.3637,0.90392,0.71757,0.78857,0.34589,1.94494,1.14732,1.64984,0.000318472,0.000318472,0.000318472
36,11187.6,1.40467,1.14651,1.36025,0.83957,0.73729,0.77473,0.36798,1.94509,1.15153,1.64837,0.000299177,0.000299177,0.000299177
37,11471.4,1.38468,1.11581,1.34727,0.86309,0.75424,0.78491,0.35873,1.97592,1.15913,1.66362,0.000279881,0.000279881,0.000279881
38,11773.2,1.35254,1.09567,1.33875,0.8483,0.73729,0.79695,0.33879,2.03372,1.16961,1.72095,0.000260586,0.000260586,0.000260586
39,12049.2,1.34206,1.08053,1.33062,0.80932,0.76271,0.77241,0.32351,2.09886,1.17197,1.75572,0.000241291,0.000241291,0.000241291
